appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
475190,Scanner Sombre,Introversion Software,Introversion Software,"200,000 .. 500,000",32,0,47,0,7,599,No,4,1.2586928474778943e-05
615120,COMPOUND,Bevan McKechnie,notdead,"200,000 .. 500,000",89,0,118,0,5,1999,No,4,1.2586928474778943e-05
586110,Sansar,"Sansar, Inc","Sansar, Inc","100,000 .. 200,000",0,0,0,0,1,0,No,4,1.2586928474778943e-05
461870,Police Simulator: Patrol Duty,Bigmoon Entertainment,,"200,000 .. 500,000",299,0,299,0,3,1799,No,4,1.2586928474778943e-05
314520,Euro Fishing,Dovetail Games,Dovetail Games,"100,000 .. 200,000",316,0,502,0,4,1499,No,4,1.2586928474778943e-05
529590,"Please, Don't Touch Anything 3D","Escalation Studios, Four Quarters",ForwardXP,"100,000 .. 200,000",0,0,0,0,2,999,No,4,1.2586928474778943e-05
586210,OVRdrop,Nicholas Ewalt,Nicholas Ewalt,"100,000 .. 200,000",54,0,54,0,4,999,No,4,1.2586928474778943e-05
1104380,The Room VR: A Dark Matter,Fireproof Games,Fireproof Games,"100,000 .. 200,000",269,0,393,0,6,2999,No,4,1.2586928474778943e-05
1073390,Aircar,"Giant Form Entertainment, LLC","Giant Form Entertainment, LLC","200,000 .. 500,000",0,0,0,0,4,0,No,4,1.2586928474778943e-05
751440,VR Kanojo / VRカノジョ,ILLUSION,ILLUSION,"100,000 .. 200,000",128,0,128,0,7,4999,No,4,1.2586928474778943e-05
896890,VR Paradise - Steam Edition,Totem Entertainment,Totem Entertainment,"20,000 .. 50,000",86,0,47,0,5,1999,No,4,1.2586928474778943e-05
1266470,Real VR Fishing,"Devs United Games, Inc","Devs United Games, Inc.","0 .. 20,000",0,0,0,0,8,1999,No,4,1.2586928474778943e-05
567670,Serious Sam 3 VR: BFE,Croteam VR,"Devolver Digital, Croteam Publishing","50,000 .. 100,000",168,0,335,0,5,2999,No,4,1.2586928474778943e-05
500500,Simple VR Video Player,simplevr.pro,simplevr.pro,"50,000 .. 100,000",15,0,15,0,7,799,No,4,1.2586928474778943e-05
989060,Virtual Home Theater VR Video Player,Aurel Constantinescu,Aurel Constantinescu,"0 .. 20,000",0,0,0,0,3,2999,No,4,1.2586928474778943e-05
1636030,Crossfire: Sierra Squad,Smilegate Entertainment,"Smilegate Entertainment, Smilegate","20,000 .. 50,000",0,0,0,0,2,2999,No,4,1.2586928474778943e-05
722180,SURV1V3,Candymakers,Candymakers,"100,000 .. 200,000",0,0,0,0,5,2499,No,4,1.2586928474778943e-05
957070,iB Cricket,ProYuga Advanced Technologies Ltd,ProYuga Advanced Technologies Ltd,"0 .. 20,000",0,0,0,0,6,2999,Yes,4,1.2586928474778943e-05
846470,Moss,Polyarc,Polyarc,"500,000 .. 1,000,000",48,0,48,0,4,1999,No,4,1.2586928474778943e-05
2515210,SKIBIDI BACKROOMS,"Rosa Special Studio, Grand Technology Associates","Rosa Special Studio, Grand Technology Associates","100,000 .. 200,000",52,0,82,0,5,199,No,4,1.2586928474778943e-05
2456960,The 7th Guest VR,Vertigo Games,Vertigo Games,"0 .. 20,000",0,0,0,0,4,2999,No,4,1.2586928474778943e-05
673600,Prison Boss VR,TREBUCHET,TREBUCHET,"20,000 .. 50,000",0,0,0,0,5,999,No,4,1.2586928474778943e-05
1403370,Zenith: The Last City,Ramen VR,Ramen VR,"500,000 .. 1,000,000",41,0,59,0,7,0,No,4,1.2586928474778943e-05
266430,Anarchy Arcade,Elijah Newman-Gomez,Elijah Newman-Gomez,"500,000 .. 1,000,000",102,0,75,0,7,0,No,4,1.2586928474778943e-05
332490,Battle Fleet 2,Mythical City Games,Mythical City Games,"50,000 .. 100,000",0,0,0,0,6,1499,No,4,1.2586928474778943e-05
528550,Drunkn Bar Fight,The Munky,The Munky,"50,000 .. 100,000",0,0,0,0,2,1399,No,4,1.2586928474778943e-05
650000,DOOM VFR,id Software,Bethesda Softworks,"200,000 .. 500,000",71,0,74,0,3,1499,No,4,1.2586928474778943e-05
2009460,War of Wizards,Arcane Miracle Entertainment,Arcane Miracle Entertainment,"0 .. 20,000",0,0,0,0,3,1999,No,4,1.2586928474778943e-05
1040430,Adventure Climb VR,MXTreality,MXTreality,"200,000 .. 500,000",0,0,0,0,9,0,No,4,1.2586928474778943e-05
1969310,Demeo Battles,Resolution Games,Resolution Games,"0 .. 20,000",0,0,0,0,2,1999,No,3,9.440196356084207e-06
244930,SNOW - The Ultimate Edition,"Poppermost Productions, WastedStudios, Crytek",Crytek,"1,000,000 .. 2,000,000",88,0,17,0,5,0,No,3,9.440196356084207e-06
1947070,Broken Edge,TREBUCHET,Fast Travel Games,"200,000 .. 500,000",0,0,0,0,4,1499,No,3,9.440196356084207e-06
1415660,TRADER LIFE SIMULATOR,DNA ARMY GAMING,DNA ARMY GAMING,"200,000 .. 500,000",367,0,367,0,4,0,No,3,9.440196356084207e-06
1001140,Angry Birds VR: Isle of Pigs,Resolution Games,Resolution Games,"0 .. 20,000",0,0,0,0,6,1999,No,3,9.440196356084207e-06
1206480,Swordsman VR,Sinn Studio Inc.,Sinn Studio Inc.,"50,000 .. 100,000",0,0,0,0,3,1999,No,3,9.440196356084207e-06
1824960,Propagation: Paradise Hotel,WanadevStudio,WanadevStudio,"20,000 .. 50,000",0,0,0,0,4,999,No,3,9.440196356084207e-06
1427890,Blaston,Resolution Games,Resolution Games,"20,000 .. 50,000",0,0,0,0,6,0,Yes,3,9.440196356084207e-06
1288790,BeachHead,Digital Fusion Inc.,Digital Fusion Inc.,"20,000 .. 50,000",0,0,0,0,4,1499,No,3,9.440196356084207e-06
2313930,NFL Pro Era II,StatusPRO Inc,StatusPRO Inc,"0 .. 20,000",0,0,0,0,0,2999,No,3,9.440196356084207e-06
1196450,Stop Sign VR Tools,Reality Inside Ltd.,Reality Inside Ltd.,"0 .. 20,000",0,0,0,0,4,599,No,3,9.440196356084207e-06
748460,RealFlight 8,"Horizon Hobby, LLC","Horizon Hobby, LLC","0 .. 20,000",0,0,0,0,6,0,No,3,9.440196356084207e-06
469990,NEKOPALIVE,NEKO WORKs,Sekai Project,"200,000 .. 500,000",3,0,3,0,4,0,No,3,9.440196356084207e-06
1067220,RoboCo,Filament Games,Filament Games,"0 .. 20,000",0,0,0,0,2,1999,No,3,9.440196356084207e-06
464170,VRMark,UL,UL,"0 .. 20,000",10,0,10,0,5,1999,No,3,9.440196356084207e-06
502820,Batman: Arkham VR,Rocksteady Studios,Warner Bros. Interactive Entertainment,"100,000 .. 200,000",68,0,103,0,3,399,No,3,9.440196356084207e-06
313630,The Solus Project,"Hourences, Grip Games",Teotl Studios,"200,000 .. 500,000",359,0,581,0,2,1999,No,3,9.440196356084207e-06
1178460,Desktop Portal,CircuitLord,CircuitLord,"0 .. 20,000",0,0,0,0,2,999,No,3,9.440196356084207e-06
1745170,Primitier,Ota Mato,Ota Mato,"0 .. 20,000",0,0,0,0,2,1999,No,3,9.440196356084207e-06
640800,Skyfront VR,Levity Play,Levity Play,"0 .. 20,000",0,0,0,0,0,999,Yes,3,9.440196356084207e-06
512080,Fancy Skiing VR,哈视奇科技,哈视奇科技,"100,000 .. 200,000",0,0,0,0,1,999,No,3,9.440196356084207e-06
957790,War Dust VR: 32v32 Battlefields,raptor lab,raptor lab,"100,000 .. 200,000",0,0,0,0,9,2499,No,3,9.440196356084207e-06
716260,Guns'n'Stories: Preface VR,MIROWIN,MIROWIN,"100,000 .. 200,000",20,0,25,0,3,0,No,3,9.440196356084207e-06
2081470,Red Matter 2,Vertical Robot,Vertical Robot,"0 .. 20,000",0,0,0,0,5,1799,No,3,9.440196356084207e-06
625470,The Red Stare,Play:D,"Play:D, NHTV Breda University of Applied Sciences","100,000 .. 200,000",139,0,139,0,4,0,No,3,9.440196356084207e-06
400940,Budget Cuts,Neat Corporation,Neat Corporation,"200,000 .. 500,000",283,0,322,0,2,2999,No,3,9.440196356084207e-06
2005050,Dance Dash,Rebuff Reality,Rebuff Reality,"0 .. 20,000",78,0,78,0,2,1999,No,3,9.440196356084207e-06
1906020,Drums Rock,Garage51,Garage51,"0 .. 20,000",0,0,0,0,3,1199,No,3,9.440196356084207e-06
552440,The Talos Principle VR,Croteam VR,"Devolver Digital, Croteam Publishing","50,000 .. 100,000",17,0,33,0,1,2999,No,3,9.440196356084207e-06
844040,RUSH,The Binary Mill,The Binary Mill,"50,000 .. 100,000",0,0,0,0,2,1999,No,3,9.440196356084207e-06
1265800,Hubris,Cyborn B.V.,Cyborn B.V.,"20,000 .. 50,000",0,0,0,0,5,2999,No,3,9.440196356084207e-06
1491490,Cosmonious High,Owlchemy Labs,Owlchemy Labs,"0 .. 20,000",0,0,0,0,3,1999,No,3,9.440196356084207e-06
530350,Smashbox Arena,"BigBox VR, Inc.","BigBox VR, Inc.","50,000 .. 100,000",0,0,0,0,0,0,No,3,9.440196356084207e-06
877850,TribeXR DJ School,TribeXR Inc.,TribeXR Inc.,"20,000 .. 50,000",0,0,0,0,3,0,No,3,9.440196356084207e-06
2701700,Maestro,Double Jack,Double Jack,"0 .. 20,000",0,0,0,0,3,2499,No,3,9.440196356084207e-06
1844610,Reality Mixer - Mixed Reality for VR headsets,Reality Inside Ltd.,Reality Inside Ltd.,"0 .. 20,000",0,0,0,0,5,999,No,3,9.440196356084207e-06
2948310,The House of Da Vinci VR,Blue Brain Games,Blue Brain Games,"0 .. 20,000",0,0,0,0,4,2499,No,3,9.440196356084207e-06
1097620,Fast and Low,Urban Giraffe Games Inc.,Urban Giraffe Games Inc.,"20,000 .. 50,000",0,0,0,0,2,1999,No,3,9.440196356084207e-06
810500,PowerBeatsVR - VR Fitness,Five Mind Creations,Five Mind Creations,"20,000 .. 50,000",34,0,44,0,8,1399,Yes,3,9.440196356084207e-06
618740,Beat Hazard 2,Cold Beam Games,Cold Beam Games,"20,000 .. 50,000",83,0,83,0,1,1899,No,3,9.440196356084207e-06
752480,Sniper Elite VR,"Just Add Water (Developments), Ltd.",Rebellion,"50,000 .. 100,000",0,0,0,0,3,2999,No,3,9.440196356084207e-06
552450,Serious Sam VR: The First Encounter,Croteam VR,"Devolver Digital, Croteam","50,000 .. 100,000",31,0,44,0,8,1999,No,3,9.440196356084207e-06
1088770,Car Mechanic Simulator VR,"GameFormatic S.A., Red Dot Games",PlayWay S.A.,"20,000 .. 50,000",0,0,0,0,0,1999,No,3,9.440196356084207e-06
389980,Pluto,Pluto VR,Pluto VR,"50,000 .. 100,000",0,0,0,0,5,0,No,3,9.440196356084207e-06
1755100,The Last Clockwinder,Pontoco,Cyan Ventures,"0 .. 20,000",0,0,0,0,2,2499,No,3,9.440196356084207e-06
1318090,Vertigo Remastered,"Zach Tsiakalis-Brown, George Eracleous, Errol Bucy",Zulubo Productions,"20,000 .. 50,000",572,0,930,0,0,2499,No,2,6.293464237389471e-06
446770,Skeet: VR Target Shooting,Flatbox Studios,Flatbox Studios LLC,"50,000 .. 100,000",12,0,15,0,1,0,No,2,6.293464237389471e-06
1458560,I'm on Observation Duty 3,Notovia,Notovia,"500,000 .. 1,000,000",0,0,0,0,2,299,No,2,6.293464237389471e-06
724590,Sharecare YOU VR,Sharecare Reality Lab,"Sharecare, Inc.","0 .. 20,000",0,0,0,0,2,0,No,2,6.293464237389471e-06
1922060,BrVR Backrooms Virtual Reality,"Paul Wallace, John Wallace","LakesideCentral LLC, Woo Studios","0 .. 20,000",0,0,0,0,1,799,No,2,6.293464237389471e-06
328590,Don't Knock Twice,Wales Interactive,Wales Interactive,"50,000 .. 100,000",47,0,47,0,3,1999,No,2,6.293464237389471e-06
746930,OrbusVR: Reborn,"Orbus Online, LLC","Orbus Online, LLC","20,000 .. 50,000",0,0,0,0,1,0,No,2,6.293464237389471e-06
567130,Boogeyman 2,Clockwork Wolf,ClockWorkWolf,"20,000 .. 50,000",340,0,665,0,1,499,No,2,6.293464237389471e-06
504100,Russian VR Coasters,Funny Twins,Funny Twins,"0 .. 20,000",0,0,0,0,0,499,No,2,6.293464237389471e-06
619500,cyubeVR,Stonebrick Studios,Stonebrick Studios,"100,000 .. 200,000",62,0,123,0,5,2999,No,2,6.293464237389471e-06
429530,Falcon 4.0,MicroProse Software,MicroProse Software,"100,000 .. 200,000",1,0,1,0,2,699,No,2,6.293464237389471e-06
746510,Duck Season PC,Stress Level Zero,Stress Level Zero,"100,000 .. 200,000",0,0,0,0,2,999,No,2,6.293464237389471e-06
1094870,Acron: Attack of the Squirrels!,Resolution Games,Resolution Games,"0 .. 20,000",0,0,0,0,2,1999,No,2,6.293464237389471e-06
1348700,Spice&Wolf VR2,SpicyTails,SpicyTails,"0 .. 20,000",0,0,0,0,1,2499,No,2,6.293464237389471e-06
1098490,Explore Fushimi Inari,Matt Newell,Matt Newell,"100,000 .. 200,000",9,0,13,0,1,0,No,2,6.293464237389471e-06
451980,The Body VR: Journey Inside a Cell,The Body VR LLC,The Body VR LLC,"100,000 .. 200,000",14,0,14,0,2,0,No,2,6.293464237389471e-06
631660,Immersion Chess,Immersion,Immersion,"100,000 .. 200,000",6,0,6,0,1,0,No,2,6.293464237389471e-06
1342740,Moose Life,Llamasoft Ltd.,Llamasoft Ltd.,"0 .. 20,000",0,0,0,0,1,699,No,2,6.293464237389471e-06
1032670,FOCUS on YOU,Smilegate Entertainment,"Smilegate, Smilegate Entertainment","20,000 .. 50,000",0,0,0,0,0,3999,No,2,6.293464237389471e-06
1303990,Mini Motor Racing X,The Binary Mill,Nextgen Reality Pty Ltd.,"50,000 .. 100,000",0,0,0,0,7,1499,No,2,6.293464237389471e-06
547590,Pinball FX2 VR,Zen Studios,Zen Studios,"50,000 .. 100,000",0,0,0,0,0,1499,No,2,6.293464237389471e-06
239430,Q.U.B.E: Director's Cut,Toxic Games,Toxic Games,"500,000 .. 1,000,000",0,0,0,0,1,999,No,2,6.293464237389471e-06
960040,Clash of Chefs VR,Flat Hill Games,Flat Hill Games,"0 .. 20,000",0,0,0,0,0,1999,Yes,2,6.293464237389471e-06
577890,Arena: Blood on the Sand VR,Random Bird Studio,Conglomerate 5,"100,000 .. 200,000",0,0,0,0,0,99,No,2,6.293464237389471e-06
398170,Evochron Legacy SE,StarWraith 3D Games LLC,StarWraith 3D Games LLC,"100,000 .. 200,000",0,0,0,0,2,2499,No,2,6.293464237389471e-06
446560,Just Dance 2017,"Ubisoft Paris, Ubisoft Pune",Ubisoft,"50,000 .. 100,000",0,0,0,0,0,0,No,2,6.293464237389471e-06
741430,Titanic VR,Immersive VR Education Ltd,Immersive VR Education Ltd,"0 .. 20,000",0,0,0,0,0,1999,No,2,6.293464237389471e-06
954350,NOLO HOME,北京凌宇智控科技有限公司,北京凌宇智控科技有限公司,"0 .. 20,000",0,0,0,0,2,0,No,2,6.293464237389471e-06
2142400,The Riese Project - Prologue,Real Invented Studio,Real Invented Studio,"50,000 .. 100,000",0,0,0,0,1,0,No,2,6.293464237389471e-06
726620,Kitty Rescue,Mesmerise Studios,Mesmerise Global,"0 .. 20,000",0,0,0,0,0,0,No,2,6.293464237389471e-06
1099500,The Curious Tale of the Stolen Pets,Fast Travel Games,Fast Travel Games,"0 .. 20,000",0,0,0,0,0,699,No,2,6.293464237389471e-06
834880,Acro FS,Knife Edge Software,Knife Edge Software,"50,000 .. 100,000",5,0,5,0,0,0,No,2,6.293464237389471e-06
251810,Leadwerks Game Engine,Leadwerks Software,Ultra Software,"0 .. 20,000",0,0,0,0,3,4999,No,2,6.293464237389471e-06
1086850,Garden of the Sea (VR),Neat Corporation,Neat Corporation,"0 .. 20,000",0,0,0,0,3,1999,No,2,6.293464237389471e-06
826540,Audio Trip,Kinemotik Studios,Andromeda Entertainment,"20,000 .. 50,000",0,0,0,0,2,1999,No,2,6.293464237389471e-06
1217930,VR Jetpack Game,pftq,Autodidactic Studios LLC,"20,000 .. 50,000",0,0,0,0,1,0,No,2,6.293464237389471e-06
561440,Graffiti Bombing,"Urban Weaponry, Will Lingard","Urban Weaponry, Will Lingard","20,000 .. 50,000",0,0,0,0,1,0,No,2,6.293464237389471e-06
1148560,Buccaneers!,Skyward Digital,Skyward Digital,"0 .. 20,000",62,0,62,0,2,1799,No,2,6.293464237389471e-06
466740,ARAYA,MAD Virtual Reality Studio,MAD Virtual Reality Studio,"50,000 .. 100,000",11,0,11,0,0,1499,No,2,6.293464237389471e-06
1144800,Drop In - VR F2P,"Wild Ox Studios, Tim van Kan",Wild Ox Studios,"50,000 .. 100,000",0,0,0,0,0,0,No,2,6.293464237389471e-06
1256230,Hyperbolica,CodeParade,CodeParade,"200,000 .. 500,000",160,0,160,0,3,1299,No,2,6.293464237389471e-06
638110,Desert Bus VR,Dinosaur Games,"Gearbox Software, LLC","200,000 .. 500,000",36,0,29,0,2,0,No,2,6.293464237389471e-06
1507210,aerofly RC 8,IPACS,IPACS,"0 .. 20,000",0,0,0,0,1,0,No,2,6.293464237389471e-06
793190,Daily OVR,TM xR Lab,TM xR Lab,"0 .. 20,000",0,0,0,0,1,399,No,2,6.293464237389471e-06
734330,Ultimate Coaster X,Phony Game Studios,Phony Game Studios,"50,000 .. 100,000",0,0,0,0,3,0,No,2,6.293464237389471e-06
312650,Battlezone Gold Edition,Rebellion,Rebellion,"20,000 .. 50,000",0,0,0,0,2,3499,No,2,6.293464237389471e-06
457420,Surgeon Simulator VR: Meet The Medic,Bossa Studios,"Bossa Studios, Infogrames","200,000 .. 500,000",15,0,16,0,2,0,No,2,6.293464237389471e-06
556640,Gladius | Gladiator VR Sword fighting,VirtualAge,VirtualAge,"20,000 .. 50,000",0,0,0,0,4,1499,No,2,6.293464237389471e-06
747350,Hellblade: Senua's Sacrifice VR Edition,Ninja Theory,Ninja Theory,"50,000 .. 100,000",29,0,37,0,3,2999,No,2,6.293464237389471e-06
570420,X Rebirth VR Edition,Egosoft,Egosoft,"50,000 .. 100,000",0,0,0,0,2,3999,No,2,6.293464237389471e-06
1082680,The Walking Dead Onslaught,Survios,Survios,"50,000 .. 100,000",0,0,0,0,4,2999,No,2,6.293464237389471e-06
548010,3D Organon VR Anatomy 2018,Medis Media,Medis Media,"0 .. 20,000",0,0,0,0,0,0,No,2,6.293464237389471e-06
1147940,3dSen PC,Geod Studio,Geod Studio,"20,000 .. 50,000",0,0,0,0,0,999,No,2,6.293464237389471e-06
1230410,Chaos,Frinky,Frinky,"200,000 .. 500,000",0,0,0,0,2,0,No,2,6.293464237389471e-06
658570,FURIDASHI: Drift Cyber Sport,Drift Physics Crew,Drift Physics Crew,"200,000 .. 500,000",0,0,0,0,1,1199,No,2,6.293464237389471e-06
429180,Project CARS - Pagani Edition,Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment","200,000 .. 500,000",31,0,24,0,4,0,No,2,6.293464237389471e-06
772180,Cricket Club,VersoVR,VersoVR,"0 .. 20,000",0,0,0,0,1,1499,No,2,6.293464237389471e-06
436320,Raw Data,Survios,Survios,"100,000 .. 200,000",56,0,45,0,2,3999,No,2,6.293464237389471e-06
826480,VR Benchmark Kanojo,ILLUSION,ILLUSION,"100,000 .. 200,000",1,0,1,0,2,0,No,2,6.293464237389471e-06
2096570,A Fisherman's Tale 2,InnerspaceVR,Vertigo Games,"0 .. 20,000",0,0,0,0,0,1999,No,2,6.293464237389471e-06
729580,Malzbie's Pinball Collection,Malzbie Games,Malzbie Games,"20,000 .. 50,000",0,0,0,0,2,0,No,2,6.293464237389471e-06
2195400,Shave & Stuff,HyperVR Games,HyperVR Games,"0 .. 20,000",0,0,0,0,1,1499,No,2,6.293464237389471e-06
1684010,Sail,"Red Team Interactive Inc., Continuum XR",Garett cook,"0 .. 20,000",0,0,0,0,1,1499,No,2,6.293464237389471e-06
1945250,Blacktop Hoops,Vinci Games,Vinci Games,"50,000 .. 100,000",0,0,0,0,2,2999,Yes,2,6.293464237389471e-06
691320,Gun Club VR,The Binary Mill,The Binary Mill,"20,000 .. 50,000",120,0,120,0,2,1999,No,2,6.293464237389471e-06
966680,Red Matter,Vertical Robot,Vertical Robot,"20,000 .. 50,000",86,0,86,0,1,2499,No,2,6.293464237389471e-06
676510,Industrial Petting,Another Yeti,Another Yeti,"0 .. 20,000",24,0,24,0,5,1999,No,2,6.293464237389471e-06
3098490,Monkey Mischief,GRP GAMES LTD,GRP GAMES LTD,"0 .. 20,000",0,0,0,0,3,0,No,2,6.293464237389471e-06
2110630,Chernobyl Again,Vimagineo Sp. z o.o.,Vimagineo Sp. z o.o.,"0 .. 20,000",0,0,0,0,1,2999,No,1,3.1467321186947357e-06
310370,The Way of Life Free Edition,"CyberCoconut, Fabio Ferrara",CyberCoconut,"1,000,000 .. 2,000,000",11,0,8,0,0,0,No,1,3.1467321186947357e-06
1513740,Warriors Of Titus - F2P,Martin Kutlak,Martin Kutlak,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
532270,Lethal VR,Three Fields Entertainment,Team17 Digital Ltd,"20,000 .. 50,000",0,0,0,0,0,499,No,1,3.1467321186947357e-06
660520,The IOTA Project,DreamSail Games,DreamSail Games,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
3002560,Containment Initiative 2,Gwyn Games,Gwyn Games,"0 .. 20,000",0,0,0,0,0,899,No,1,3.1467321186947357e-06
3201570,VR Sailing,HFRK.,HFRK.,"0 .. 20,000",0,0,0,0,0,499,No,1,3.1467321186947357e-06
2151960,Golf 5 eClub,AAA Game Studios,AAA Game Studios,"0 .. 20,000",0,0,0,0,2,1999,No,1,3.1467321186947357e-06
2363140,ForeVR Pool VR,ForeVR Games Inc,ForeVR Games Inc,"0 .. 20,000",0,0,0,0,1,1999,No,1,3.1467321186947357e-06
1400510,"Castle Rock Beach, West Australia",Matt Newell,Matt Newell,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
439260,"""BUTTS: The VR Experience""",Gentle Manhands,Gentle Manhands,"0 .. 20,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
450220,Overload Playable Teaser 3.0,"Revival Productions, LLC","Revival Productions, LLC","100,000 .. 200,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
620070,Vroom Kaboom,Ratloop Games Canada,Ratloop Games Canada,"100,000 .. 200,000",0,0,0,0,1,0,No,1,3.1467321186947357e-06
1101140,Fishing Adventure,MasterCode,Ultimate Games S.A.,"100,000 .. 200,000",5,0,5,0,1,499,No,1,3.1467321186947357e-06
1957680,Mount Wingsuit 2,Ninja Whale Studios,Ninja Whale Studios,"0 .. 20,000",0,0,0,0,0,1499,No,1,3.1467321186947357e-06
2233580,Monkey Doo,Continuum XR,Clique Games,"0 .. 20,000",0,0,0,0,1,1499,No,1,3.1467321186947357e-06
1403760,Ultra Engine,Ultra Software,Ultra Software,"0 .. 20,000",0,0,0,0,0,2999,No,1,3.1467321186947357e-06
428080,Racket: Nx,One Hamsa,One Hamsa,"0 .. 20,000",0,0,0,0,1,1999,No,1,3.1467321186947357e-06
1337530,Maskmaker,InnerspaceVR,Vertigo Games,"0 .. 20,000",0,0,0,0,1,1499,No,1,3.1467321186947357e-06
1118070,1976 - Back to midway,Ivanovich Games,Ivanovich Games,"0 .. 20,000",0,0,0,0,0,1499,No,1,3.1467321186947357e-06
973700,Disassembly VR,Khor Chin Heong,Khor Chin Heong,"0 .. 20,000",0,0,0,0,0,2999,No,1,3.1467321186947357e-06
2012100,WHAT THE BAT?,Triband,Triband,"0 .. 20,000",0,0,0,0,0,2499,No,1,3.1467321186947357e-06
501090,"Design it, Drive it : Speedboats",Performance Simulations,Performance Simulations,"0 .. 20,000",0,0,0,0,0,2499,No,1,3.1467321186947357e-06
1197620,DragonRideVR,TypeEh Studios,TypeEh Studios,"0 .. 20,000",0,0,0,0,0,1499,No,1,3.1467321186947357e-06
462480,Sweet Escape VR,"Reailty Smash, Inc.","Reality Smash, Inc.","0 .. 20,000",0,0,0,0,0,999,Yes,1,3.1467321186947357e-06
381940,Trials on Tatooine,ILMxLAB,ILMxLAB,"200,000 .. 500,000",26,0,28,0,1,0,No,1,3.1467321186947357e-06
331120,Passing Pineview Forest,VIS-Games,United Independent Entertainment,"200,000 .. 500,000",8,0,9,0,2,0,No,1,3.1467321186947357e-06
513490,1943 Berlin Blitz,BBC Media Applications Technologies Limited,BBC Media Applications Technologies Limited,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
592030,Just In Time Incorporated,Second Wind Interactive,Second Wind Interactive,"20,000 .. 50,000",215,0,215,0,0,499,No,1,3.1467321186947357e-06
1000510,The Marvellous Machine,1337 Game Design,1337 Game Design,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
342190,Skyworld,"Vertigo Games, Wolfdog Interactive",Vertigo Games,"20,000 .. 50,000",26,0,26,0,0,1499,No,1,3.1467321186947357e-06
503280,Marble Land,Devious Technologies,Devious Technologies,"20,000 .. 50,000",0,0,0,0,0,1499,No,1,3.1467321186947357e-06
1931240,MOTHERGUNSHIP: FORGE,Terrible Posture Games,Terrible Posture Games,"50,000 .. 100,000",0,0,0,0,3,1999,No,1,3.1467321186947357e-06
489380,QuiVr,Blueteak,"Alvios, Inc.","50,000 .. 100,000",146,0,146,0,0,1999,No,1,3.1467321186947357e-06
891420,VR Model Viewer,MindRend Technologies,MindRend Technologies,"0 .. 20,000",0,0,0,0,0,299,No,1,3.1467321186947357e-06
501620,CyberLink PowerDirector 15 Ultimate,CyberLink,"Koch Media , CyberLink","0 .. 20,000",0,0,0,0,1,0,No,1,3.1467321186947357e-06
748270,VR Roller Coaster - Cave Depths,ARLOOPA Inc.,ARLOOPA Inc.,"0 .. 20,000",0,0,0,0,1,99,No,1,3.1467321186947357e-06
262750,GoD Factory: Wingmen,Nine Dots Studio,Nine Dots Publishing,"50,000 .. 100,000",0,0,0,0,2,1999,No,1,3.1467321186947357e-06
1065970,狼と香辛料VR/Spice&WolfVR,SpicyTails,SpicyTails,"50,000 .. 100,000",70,0,70,0,1,2499,No,1,3.1467321186947357e-06
1707620,GAZZLERS,Bolt Blaster Games,Odders Lab,"20,000 .. 50,000",0,0,0,0,0,999,No,1,3.1467321186947357e-06
798590,Elven Love,Red Vibe Studio,Red Vibe Studio,"20,000 .. 50,000",0,0,0,0,0,1499,No,1,3.1467321186947357e-06
384750,EVEREST VR,"Sólfar Studios, RVX",Sólfar Studios,"20,000 .. 50,000",0,0,0,0,2,999,No,1,3.1467321186947357e-06
495030,VR Battle Grid,Fred Sauer,Fred Sauer,"20,000 .. 50,000",0,0,0,0,0,0,No,1,3.1467321186947357e-06
2164480,Realm of the Fallen,Virtual Destructor LLC,Virtual Destructor LLC,"0 .. 20,000",0,0,0,0,0,999,No,1,3.1467321186947357e-06
508690,AnimVR,NVRMIND,NVRMIND,"0 .. 20,000",0,0,0,0,0,2999,No,1,3.1467321186947357e-06
1408490,Historical Games: Chariot Racing,Flyover Zone,Flyover Zone,"0 .. 20,000",0,0,0,0,0,999,No,1,3.1467321186947357e-06
1933320,Black Hole Pool VR,Pixel Works Ltd.,Pixel Works Ltd.,"0 .. 20,000",0,0,0,0,0,1999,No,1,3.1467321186947357e-06
1035320,MarineVerse Sailing Club,MarineVerse,MarineVerse,"0 .. 20,000",0,0,0,0,0,199,Yes,1,3.1467321186947357e-06
2000590,Alvo VR,OutsideIn Entertainment,OutsideIn Entertainment,"0 .. 20,000",0,0,0,0,2,1499,No,1,3.1467321186947357e-06
964230,FUTURE GPX CYBER FORMULA SIN VIER,PROJECT YNP,PROJECT YNP,"0 .. 20,000",0,0,0,0,0,2999,No,1,3.1467321186947357e-06
