appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
611670,The Elder Scrolls V: Skyrim VR,Bethesda Game Studios,Bethesda Softworks,"500,000 .. 1,000,000",1767,0,618,0,388,5999,No,303,0.0009534598319645048
2719160,Contractors Showdown : ExfilZone,Caveman Studio,Caveman Studio,"20,000 .. 50,000",170,0,320,0,352,1999,No,301,0.0009471663677271154
341800,Keep Talking and Nobody Explodes,Steel Crate Games,Steel Crate Games,"1,000,000 .. 2,000,000",195,0,100,0,454,1499,No,298,0.0009377261713710311
2290180,Riders Republic,"Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Kyiv, Ubisoft Pune, Ubisoft Odesa",Ubisoft Entertainment,"500,000 .. 1,000,000",1033,774,506,774,260,3999,No,281,0.0008842317253532207
621060,PC Building Simulator,"Claudiu Kiss, The Irregular Corporation",The Irregular Corporation,"1,000,000 .. 2,000,000",1945,25,332,25,316,1999,No,272,0.000855911136284968
1161580,Hardspace: Shipbreaker,Blackbird Interactive,Focus Entertainment,"1,000,000 .. 2,000,000",1069,0,956,0,295,3499,No,264,0.0008307372793354102
823130,Totally Accurate Battlegrounds,Landfall,Landfall,"2,000,000 .. 5,000,000",376,0,54,0,337,0,No,264,0.0008307372793354102
667970,VTOL VR,"Boundless Dynamics, LLC","Boundless Dynamics, LLC","500,000 .. 1,000,000",753,34,95,34,362,2999,No,257,0.000808710154504547
266410,iRacing,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing","200,000 .. 500,000",8,0,15,0,574,0,No,252,0.0007929764939110733
450540,"Hot Dogs, Horseshoes & Hand Grenades",RUST LTD.,RUST LTD.,"1,000,000 .. 2,000,000",672,0,329,0,311,1999,No,251,0.0007898297617923787
1874170,Shredders,FoamPunch,FoamPunch,"100,000 .. 200,000",122,0,204,0,282,2999,No,249,0.0007835362975549892
460920,Steep,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,"1,000,000 .. 2,000,000",347,0,185,0,333,2999,No,245,0.0007709493690802102
1583230,High On Life,"Squanch Games, Inc.","Squanch Games, Inc.","200,000 .. 500,000",569,0,580,0,414,3999,No,243,0.0007646559048428207
214490,Alien: Isolation,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","2,000,000 .. 5,000,000",792,0,455,0,315,3999,No,241,0.0007583624406054312
307960,IL-2 Sturmovik: Battle of Stalingrad,1C Game Studios,FOR-GAMES CR LTD,"1,000,000 .. 2,000,000",687,0,609,0,377,4999,No,237,0.0007457755121306523
1957780,Ghosts of Tabor,Combat Waffle Studios,Beyond Frames,"200,000 .. 500,000",983,0,983,0,313,2499,No,226,0.0007111614588250102
1475810,Ghostwire: Tokyo,Tango Gameworks,Bethesda Softworks,"1,000,000 .. 2,000,000",1367,0,1083,0,199,5999,No,219,0.0006891343339941471
908520,fpsVR,SBSoftLab,SBSoftLab,"200,000 .. 500,000",4568,0,4568,0,281,399,No,219,0.0006891343339941471
470220,UNO,Ubisoft Entertainment,Ubisoft Entertainment,"2,000,000 .. 5,000,000",277,1,190,1,262,999,Yes,218,0.0006859876018754524
1164940,Trepang2,Trepang Studios,Team17,"200,000 .. 500,000",555,487,573,487,289,2999,No,216,0.0006796941376380628
582500,We Were Here,Total Mayhem Games,Total Mayhem Games,"1,000,000 .. 2,000,000",98,107,87,107,379,0,No,209,0.0006576670128071998
1182020,WGT Golf,"World Golf Tour, LLC","World Golf Tour, LLC","500,000 .. 1,000,000",207,0,84,0,248,0,No,203,0.0006387866200950313
645260,Trophy Fishing 2,Overgroup,Overgroup,"200,000 .. 500,000",24,0,31,0,241,0,No,192,0.0006041725667893892
886250,PokerStars VR,Lucky VR Inc.,The Stars Group Inc.,"200,000 .. 500,000",109,0,59,0,259,0,No,191,0.0006010258346706945
555160,Pavlov,Vankrupt Games,Vankrupt Games,"500,000 .. 1,000,000",748,326,543,326,252,2499,Yes,188,0.0005915856383146103
1592190,BONELAB,Stress Level Zero,Stress Level Zero,"500,000 .. 1,000,000",533,0,680,0,247,3999,No,186,0.0005852921740772208
1205970,MX vs ATV Legends,Rainbow Studios,THQ Nordic,"50,000 .. 100,000",0,0,0,0,122,3999,No,169,0.0005317977280594103
378860,Project CARS 2,Slightly Mad Studios,BANDAI NAMCO Entertainment,"1,000,000 .. 2,000,000",1454,0,650,0,293,0,No,165,0.0005192107995846313
314650,SpaceEngine,Cosmographic Software,Cosmographic Software,"500,000 .. 1,000,000",142,0,41,0,237,2999,No,157,0.0004940369426350735
895870,Project Wingman,Sector D2,"Sector D2, Humble Games","500,000 .. 1,000,000",787,0,1062,0,199,2499,No,156,0.0004908902105163788
967050,Pacify,Shawn Hitchcock,Hitchcock Games,"2,000,000 .. 5,000,000",129,0,120,0,369,374,No,150,0.0004720098178042103
601050,Attack on Titan 2 - A.O.T.2,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","200,000 .. 500,000",1207,0,1021,0,138,3999,No,148,0.00046571635356682087
1692250,F1 22,Codemasters,Electronic Arts,"500,000 .. 1,000,000",2186,0,1177,0,241,0,No,145,0.00045627615721073665
384300,CPUCores :: Maximize Your FPS,Smorb Software,Smorb Software,"500,000 .. 1,000,000",5672,0,3737,0,159,1699,No,141,0.00044368922873595773
1003590,Tetris Effect: Connected,"Monstars Inc., Resonair, Stage Games",Enhance,"500,000 .. 1,000,000",255,0,234,0,195,3999,Yes,138,0.0004342490323798735
1850740,Ghost Watchers,Renderise,Renderise,"500,000 .. 1,000,000",1277,0,1147,0,207,1499,No,138,0.0004342490323798735
1259980,RIDE 4,Milestone S.r.l.,Milestone S.r.l.,"500,000 .. 1,000,000",965,30,395,36,150,3999,Yes,133,0.00041851537178639984
1080110,F1 2020,Codemasters,"Codemasters, Electronic Arts","1,000,000 .. 2,000,000",5108,60,2341,60,226,0,No,129,0.00040592844331162087
1278060,Orqa FPV.SkyDive,ORQA,ORQA,"200,000 .. 500,000",170,0,266,0,192,0,No,122,0.00038390131848075774
212070,Star Conflict,Star Gem Inc.,Gaijin Network Ltd,"2,000,000 .. 5,000,000",1026,2,71,2,214,0,Yes,121,0.000380754586362063
1953520,WRC Generations – The FIA WRC Official Game,KT Racing,Nacon,"200,000 .. 500,000",400,0,273,0,130,3999,Yes,117,0.00036816765788728407
2362300,Train Sim World 4,Dovetail Games,Dovetail Games - TSW,"50,000 .. 100,000",0,0,0,0,164,3999,No,112,0.0003524339972938104
310560,DiRT Rally,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts","2,000,000 .. 5,000,000",287,0,78,0,190,0,No,107,0.0003367003367003367
1070820,RealFlight 9.5S,"Horizon Hobby, LLC","Horizon Hobby, LLC","50,000 .. 100,000",0,0,0,0,117,0,No,103,0.00032411340822555775
2707940,FPV Kamikaze Drone,HFM Games,HFM Games,"100,000 .. 200,000",160,168,168,168,166,399,No,102,0.00032096667610686304
790710,World of Warplanes,Wargaming Group Limited,Wargaming Group Limited,"1,000,000 .. 2,000,000",150,0,58,0,171,0,No,102,0.00032096667610686304
641320,Cooking Simulator,Big Cheese Studio,"Big Cheese Studio, PlayWay S.A.","500,000 .. 1,000,000",487,46,355,46,130,1999,No,100,0.00031467321186947353
859570,Secret Neighbor: Hello Neighbor Multiplayer,"Hologryph, Eerie Guest Studios",tinyBuild,"1,000,000 .. 2,000,000",138,0,182,0,157,1999,No,100,0.00031467321186947353
314000,Pool Nation FX Lite,Cherry Pop Games,Cherry Pop Games,"500,000 .. 1,000,000",12,0,9,0,126,0,No,97,0.00030523301551338937
641780,The Drone Racing League Simulator,The Drone Racing League,The Drone Racing League,"100,000 .. 200,000",271,0,406,0,118,999,Yes,94,0.00029579281915730516
583010,VoiceAttack,VoiceAttack.com,VoiceAttack.com,"100,000 .. 200,000",0,0,0,0,85,1199,No,93,0.0002926460870386104
607260,McOsu,McKay,McKay,"1,000,000 .. 2,000,000",58,0,37,0,113,0,No,91,0.00028635262280122094
1134570,F1 2021,Codemasters,Electronic Arts,"1,000,000 .. 2,000,000",3399,0,2783,0,147,0,No,87,0.00027376569432644197
962400,Granny,DVloper,DVloper,"200,000 .. 500,000",1751,0,1751,0,145,499,No,85,0.0002674722300890525
491540,The Bus,TML-Studios,AeroSoft GmbH,"200,000 .. 500,000",736,0,736,0,177,3499,No,85,0.0002674722300890525
837380,DeoVR Video Player,INFOMEDIJI d.o.o.,INFOMEDIJI d.o.o.,"500,000 .. 1,000,000",64,0,49,0,99,0,No,84,0.0002643254979703578
1807080,Ghost Exile,LostOneTeam,LostOneTeam,"200,000 .. 500,000",303,0,303,0,330,1004,No,83,0.00026117876585166305
1222730,STAR WARS: Squadrons,MOTIVE,Electronic Arts,"1,000,000 .. 2,000,000",269,0,146,0,90,3999,No,81,0.0002548853016142736
382110,Virtual Desktop Classic,"Virtual Desktop, Inc.","Virtual Desktop, Inc.","500,000 .. 1,000,000",1654,0,876,0,79,1499,No,80,0.00025173856949557884
1071100,Boom 3D Windows: Experience 3D surround sound in games,Global Delight Technologies Pvt. Ltd.,Global Delight Technologies Pvt. Ltd.,"20,000 .. 50,000",0,0,0,0,99,1699,No,78,0.0002454451052581894
301320,NoLimits 2 Roller Coaster Simulation,Ole Lange,O.L. Software,"200,000 .. 500,000",10115,0,20157,0,121,3999,No,78,0.0002454451052581894
737800,F1 2018,Codemasters,"Codemasters, Electronic Arts","500,000 .. 1,000,000",1724,0,197,0,125,0,Yes,75,0.00023600490890210516
1114420,PLAY'A VR  Video Player,"Swearl, LLC","Swearl, LLC","50,000 .. 100,000",0,0,0,0,88,0,No,71,0.00022341798042732622
2324090,VRHandsFrame,Eureka Works,Eureka Works,"0 .. 20,000",0,0,0,0,70,599,No,71,0.00022341798042732622
1294760,HARD BULLET,GexagonVR,GexagonVR,"100,000 .. 200,000",510,0,510,0,119,1999,No,69,0.00021712451618993676
415600,Kart Racing Pro,PiBoSo,PiBoSo,"20,000 .. 50,000",0,0,0,0,136,3999,No,67,0.00021083105195254727
1562420,FOREWARNED,Dreambyte Games,Dreambyte Games,"200,000 .. 500,000",522,0,612,0,54,1299,No,66,0.00020768431983385254
515180,Bus Simulator 18,stillalive studios,astragon Entertainment,"500,000 .. 1,000,000",737,0,425,0,107,2499,No,65,0.00020453758771515781
1494460,Desktop+,elvissteinjr,elvissteinjr,"100,000 .. 200,000",0,0,0,0,78,0,No,64,0.00020139085559646308
332570,Amazing Frog?,Fayju,Fayju,"500,000 .. 1,000,000",1682,0,3359,0,78,1999,No,62,0.0001950973913590736
564310,Serious Sam Fusion 2017 (beta),Croteam,"Devolver Digital, Croteam","200,000 .. 500,000",274,0,34,0,98,1499,No,61,0.00019195065924037887
448280,Job Simulator,Owlchemy Labs,Owlchemy Labs,"200,000 .. 500,000",137,0,148,0,126,1999,No,60,0.00018880392712168414
457550,Bigscreen Beta,"Bigscreen, Inc.","Bigscreen, Inc.","500,000 .. 1,000,000",444,0,96,0,84,0,No,60,0.00018880392712168414
963930,Contractors,Caveman Studio,Caveman Studio,"200,000 .. 500,000",143,0,179,0,83,1999,No,58,0.00018251046288429465
1648390,ScooterFlow,Dillon Earle,UncannyKiwi,"200,000 .. 500,000",0,0,0,0,113,1399,No,58,0.00018251046288429465
823500,BONEWORKS,Stress Level Zero,Stress Level Zero,"1,000,000 .. 2,000,000",444,0,227,0,87,2999,No,57,0.00017936373076559993
1361320,The Room 4: Old Sins,Fireproof Games,Fireproof Games,"200,000 .. 500,000",234,0,288,0,99,899,No,56,0.0001762169986469052
1012790,Into the Radius VR,CM Games,CM Games,"500,000 .. 1,000,000",636,0,860,0,56,2999,No,54,0.0001699235344095157
335210,Rift's Cave,Volens Nolens Games,Volens Nolens Games,"50,000 .. 100,000",275,0,348,0,31,499,No,54,0.0001699235344095157
611660,Fallout 4 VR,Bethesda Game Studios,Bethesda Softworks,"500,000 .. 1,000,000",642,0,254,0,83,5999,No,54,0.0001699235344095157
322500,SUPERHOT,SUPERHOT Team,SUPERHOT Team,"1,000,000 .. 2,000,000",476,0,203,0,131,749,No,53,0.00016677680229082098
34270,SEGA Mega Drive and Genesis Classics,D3T Limited,SEGA,"1,000,000 .. 2,000,000",176,1,60,1,69,0,No,52,0.00016363007017212625
1540210,Arizona Sunshine 2,Vertigo Games,Vertigo Games,"20,000 .. 50,000",494,0,494,0,92,3999,No,52,0.00016363007017212625
47790,Medal of Honor,Electronic Arts,Electronic Arts,"1,000,000 .. 2,000,000",384,0,256,0,67,1999,No,52,0.00016363007017212625
562810,MONOPOLY PLUS,Ubisoft Pune,Ubisoft,"500,000 .. 1,000,000",313,0,221,0,57,0,No,51,0.00016048333805343152
1995890,Aerofly FS 4 Flight Simulator,IPACS,IPACS,"20,000 .. 50,000",0,0,0,0,67,5999,No,51,0.00016048333805343152
313340,Mountain,David OReilly,David OReilly,"500,000 .. 1,000,000",212,0,98,0,58,99,No,51,0.00016048333805343152
1000360,Hellish Quart,Kubold,Kubold,"200,000 .. 500,000",140,0,179,0,87,1999,No,50,0.00015733660593473677
421020,DiRT 4,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts","500,000 .. 1,000,000",556,0,344,0,78,0,No,50,0.00015733660593473677
2314160,Tactical Assault VR,HammerFire Interactive,2080 Games,"100,000 .. 200,000",121,0,121,0,56,1499,No,49,0.00015418987381604204
751630,After the Fall,Vertigo Games,Vertigo Games,"100,000 .. 200,000",304,0,304,0,86,2999,No,49,0.00015418987381604204
637330,Stack,AeroLab Studios,Volens Nolens Games,"20,000 .. 50,000",268,0,337,0,2,499,No,49,0.00015418987381604204
524030,Machine Learning: Episode I,Volens Nolens Games,Volens Nolens Games,"20,000 .. 50,000",348,0,348,0,15,499,No,49,0.00015418987381604204
798420,Professional Fishing,MasterCode,Ultimate Games S.A.,"500,000 .. 1,000,000",375,0,58,0,67,0,No,48,0.0001510431416973473
252870,PULSAR: Lost Colony,Leafy Games,Leafy Games,"500,000 .. 1,000,000",731,0,1009,0,61,1999,No,46,0.00014474967745995782
2307350,Into the Radius 2,CM Games,CM Games,"50,000 .. 100,000",0,0,0,0,79,3999,No,46,0.00014474967745995782
234630,Project CARS,Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts","1,000,000 .. 2,000,000",691,0,386,0,68,0,No,46,0.00014474967745995782
